nct_id,intervention_name,intervention_type,condition,phase,overall_status,sponsor,smiles
NCT01259284,Fish Oil Supplement,OTHER,Advanced Cancers,phase2; phase3,TERMINATED,M.D. Anderson Cancer Center,
NCT01259284,Placebo,OTHER,Advanced Cancers,phase2; phase3,TERMINATED,M.D. Anderson Cancer Center,
NCT02096133,Cholecalciferol,DRUG,Multiple Sclerosis,phase2,TERMINATED,Academic MS Center Limburg,
NCT02096133,Placebo comparator,OTHER,Multiple Sclerosis,phase2,TERMINATED,Academic MS Center Limburg,
NCT04305249,ATG-017,DRUG,Solid Tumor; Hematological Malignancy,phase1,TERMINATED,Antengene Therapeutics Limited,
NCT04305249,ATG-017+Nivolumab,DRUG,Solid Tumor; Hematological Malignancy,phase1,TERMINATED,Antengene Therapeutics Limited,
NCT02524249,Caffeine,DRUG,Bronchopulmonary Dysplasia; Apnea of Prematurity,na,TERMINATED,Wayne State University,
NCT02524249,Placebo (dextrose),DRUG,Bronchopulmonary Dysplasia; Apnea of Prematurity,na,TERMINATED,Wayne State University,
NCT02247648,tramadol,DRUG,Pain; Vertigo; Nausea; Pruritus,phase2,TERMINATED,Centre hospitalier de l'Université de Montréal (CHUM),
NCT02247648,Placebo,DRUG,Pain; Vertigo; Nausea; Pruritus,phase2,TERMINATED,Centre hospitalier de l'Université de Montréal (CHUM),
NCT00396955,PLA-695,DRUG,Osteoarthritis,phase2,TERMINATED,Wyeth is now a wholly owned subsidiary of Pfizer,
NCT03296085,Exam for quantity of edema,PROCEDURE,Edema,na,TERMINATED,Geisinger Clinic,
NCT02087228,Genesys HydroTherm Ablator,DEVICE,Menorrhagia,na,TERMINATED,Baylor Research Institute,
NCT02087228,radiofrequency energy ablation device,DEVICE,Menorrhagia,na,TERMINATED,Baylor Research Institute,
NCT00962936,CT-011,DRUG,Chronic Hepatitis C,phase1; phase2,TERMINATED,CureTech Ltd,
NCT01718444,Progestin,DRUG,Polycystic Ovary Syndrome; Infertility,na,TERMINATED,University of Illinois at Chicago,
NCT01718444,Clomiphene Citrate,DRUG,Polycystic Ovary Syndrome; Infertility,na,TERMINATED,University of Illinois at Chicago,
NCT06447506,GSK1070806,DRUG,"Dermatitis, Atopic",phase2,TERMINATED,GlaxoSmithKline,
NCT04262947,Near Infrared Vein Imaging,DEVICE,"Catheterization, Peripheral",na,TERMINATED,Lahey Clinic,
NCT04262947,Conventional IV placement,OTHER,"Catheterization, Peripheral",na,TERMINATED,Lahey Clinic,
NCT02221947,Bryostatin 1,DRUG,Alzheimer's Disease,phase1; phase2,TERMINATED,"Neurotrope Bioscience, Inc.",
NCT02221947,Placebo,DRUG,Alzheimer's Disease,phase1; phase2,TERMINATED,"Neurotrope Bioscience, Inc.",
NCT03134638,SY-1365 (Part 1),DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT03134638,Carboplatin,DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT03134638,Fulvestrant,DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT03134638,SY-1365 (Cohort 2),DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT03134638,SY-1365 (Cohort 5),DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT03134638,SY-1365 (Part 2 Single Agent),DRUG,Advanced Solid Tumors; Ovarian Cancer; Breast Cancer,phase1,TERMINATED,Syros Pharmaceuticals,
NCT04853043,Cetuximab,DRUG,Colorectal Cancer,phase2,TERMINATED,University of Utah,
NCT03736343,Alcohol,DRUG,Alcohol Use Disorder (AUD); Subjective Response to Alcohol (SR),early_phase1,TERMINATED,University of Florida,
NCT01551628,Recombinant human arginase 1 Peg5000,DRUG,Leukemia; Lymphoma,phase1,TERMINATED,Bio-Cancer Treatment International Limited,
NCT02469311,chlorhexidine impregnated cloths,OTHER,Osteoarthritis; Infection,phase2,TERMINATED,LifeBridge Health,
NCT02469311,Standard of care bathing with antibacterial soap and water,OTHER,Osteoarthritis; Infection,phase2,TERMINATED,LifeBridge Health,
NCT00547911,Droxidopa,DRUG,Parkinson Disease; Multiple System Atrophy; Autonomic Nervous System Diseases,phase1; phase2,TERMINATED,National Institute of Neurological Disorders and Stroke (NINDS),
NCT00547911,Carbidopa,DRUG,Parkinson Disease; Multiple System Atrophy; Autonomic Nervous System Diseases,phase1; phase2,TERMINATED,National Institute of Neurological Disorders and Stroke (NINDS),
NCT00547911,Entacapone,DRUG,Parkinson Disease; Multiple System Atrophy; Autonomic Nervous System Diseases,phase1; phase2,TERMINATED,National Institute of Neurological Disorders and Stroke (NINDS),
NCT04327934,GnRH antagonist,DRUG,Polycystic Ovary Syndrome; Hypertension,early_phase1,TERMINATED,Yale University,
NCT04327934,GnRH antagonist + MethylTESTOSTERone 5 MG,DRUG,Polycystic Ovary Syndrome; Hypertension,early_phase1,TERMINATED,Yale University,
NCT01002534,Vardenafil,DRUG,Cystic Fibrosis,phase2,TERMINATED,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,
NCT01002534,Placebo,DRUG,Cystic Fibrosis,phase2,TERMINATED,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,
NCT02410564,cognitive behavioral therapy for insomnia (CBTI),BEHAVIORAL,Cancer; Chronic Insomnia,na,TERMINATED,Virginia Commonwealth University,
NCT02410564,Waitlist control condition,BEHAVIORAL,Cancer; Chronic Insomnia,na,TERMINATED,Virginia Commonwealth University,
NCT00986999,rosuvastatin,DRUG,HIV Infections; Cardiovascular Disease,phase2; phase3,TERMINATED,University of Hawaii,
NCT02147132,Nicotine Nasal Spray,DRUG,Cigarette Smoking; Methadone Maintenance,phase4,TERMINATED,University of Cincinnati,
NCT02147132,Varenicline,DRUG,Cigarette Smoking; Methadone Maintenance,phase4,TERMINATED,University of Cincinnati,
NCT02147132,Placebo Nasal Spray,DRUG,Cigarette Smoking; Methadone Maintenance,phase4,TERMINATED,University of Cincinnati,
NCT02147132,Placebo Varenicline,DRUG,Cigarette Smoking; Methadone Maintenance,phase4,TERMINATED,University of Cincinnati,
NCT00726232,Ruxolitinib,DRUG,Myeloproliferative Neoplasm (MPN),phase2,TERMINATED,Incyte Corporation,
NCT01429363,Targeted disc decompression,PROCEDURE,Lumbar Spine Disc Herniation,na,TERMINATED,Rijnstate Hospital,
NCT02101021,Momelotinib,DRUG,Metastatic Pancreatic Ductal Adenocarcinoma,phase3,TERMINATED,Sierra Oncology LLC - a GSK company,
NCT02101021,Placebo to match momelotinib,DRUG,Metastatic Pancreatic Ductal Adenocarcinoma,phase3,TERMINATED,Sierra Oncology LLC - a GSK company,
NCT02101021,Nab-paclitaxel,DRUG,Metastatic Pancreatic Ductal Adenocarcinoma,phase3,TERMINATED,Sierra Oncology LLC - a GSK company,
NCT02101021,Gemcitabine,DRUG,Metastatic Pancreatic Ductal Adenocarcinoma,phase3,TERMINATED,Sierra Oncology LLC - a GSK company,
NCT05742347,DriGo Skin Protectant Textile,DEVICE,Erythema; Maceration; Lesion Skin; Skin Folds,na,TERMINATED,Medline Industries,
NCT02556138,ORBERA Intragastric Balloon,DEVICE,Obesity; Liver Cirrhosis,na,TERMINATED,Mayo Clinic,
NCT01758458,Aldesleukin,BIOLOGICAL,Recurrent Merkel Cell Carcinoma; Stage IV Merkel Cell Carcinoma,phase1; phase2,TERMINATED,Fred Hutchinson Cancer Center,
NCT01758458,Laboratory Biomarker Analysis,OTHER,Recurrent Merkel Cell Carcinoma; Stage IV Merkel Cell Carcinoma,phase1; phase2,TERMINATED,Fred Hutchinson Cancer Center,
NCT01758458,MCPyV TAg-specific Polyclonal Autologous CD8-positive T Cells,BIOLOGICAL,Recurrent Merkel Cell Carcinoma; Stage IV Merkel Cell Carcinoma,phase1; phase2,TERMINATED,Fred Hutchinson Cancer Center,
NCT01758458,Radiation Therapy,RADIATION,Recurrent Merkel Cell Carcinoma; Stage IV Merkel Cell Carcinoma,phase1; phase2,TERMINATED,Fred Hutchinson Cancer Center,
NCT01758458,Recombinant Interferon Beta,BIOLOGICAL,Recurrent Merkel Cell Carcinoma; Stage IV Merkel Cell Carcinoma,phase1; phase2,TERMINATED,Fred Hutchinson Cancer Center,
NCT02900248,Provider determined,OTHER,Neoplasms; Lung Neoplasms; Colon Neoplasms; Breast Neoplasms; Pancreatic Neoplasms; Prostate Neoplasms; Kidney Neoplasms; Liver Neoplasms; Rectal Neoplasms; Hematologic Neoplasms; Multiple Myeloma; My,na,TERMINATED,CureOne,
NCT04393155,COVID-19+ observational,OTHER,COVID-19; Acute Respiratory Failure,na,TERMINATED,University of Vermont,
NCT05660265,GSK4172239D,DRUG,"Hematologic Diseases; Anaemia, Sickle Cell",phase1,TERMINATED,GlaxoSmithKline,
NCT05660265,Placebo,OTHER,"Hematologic Diseases; Anaemia, Sickle Cell",phase1,TERMINATED,GlaxoSmithKline,
NCT01198067,Pomalidomide,DRUG,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia,phase1,TERMINATED,M.D. Anderson Cancer Center,
NCT04106167,Allogeneic natural killer (NK) cell,OTHER,Advanced Solid Tumor; Lymphoma; Gastric Cancer; Colorectal Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; EGFR Positive Solid Tumor; HER2-positive Breast Cancer; Hepatocellular Carcinoma; Smal,na,TERMINATED,Fate Therapeutics,
NCT03894007,Docetaxel,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Carboplatin,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Trastuzumab,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Pertuzumab,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Epirubicin,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Cyclophosphamide,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Atezolizumab,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Trastuzumab emtansine,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT03894007,Paclitaxel,DRUG,Early-stage Breast Cancer; HER2-positive Breast Cancer,phase2,TERMINATED,Renske Altena,
NCT02932371,ECOM™.,DEVICE,Cardiac Surgery,na,TERMINATED,Hopital Foch,
NCT02932371,Trans-esophageal echography,DEVICE,Cardiac Surgery,na,TERMINATED,Hopital Foch,
NCT04958434,TST005,DRUG,Locally Advanced or Metastatic Cancers; Metastatic Human Papillomavirus-Related Malignant Neoplasm,phase1,TERMINATED,"Suzhou Transcenta Therapeutics Co., Ltd.",
NCT01637987,Unassisted vein visualization,PROCEDURE,PIV Catheter Insertion; Vein Visualization,na,TERMINATED,University of Nebraska,
NCT01637987,Wee Sight® Transilluminator,PROCEDURE,PIV Catheter Insertion; Vein Visualization,na,TERMINATED,University of Nebraska,
NCT01637987,"VeinViewer® (Christie Digital Systems, Cypress, CA)",PROCEDURE,PIV Catheter Insertion; Vein Visualization,na,TERMINATED,University of Nebraska,
NCT01287221,Rifampicin,DRUG,Multiple System Atrophy,phase3,TERMINATED,Phillip Low,
NCT01287221,placebo,DRUG,Multiple System Atrophy,phase3,TERMINATED,Phillip Low,
NCT00212004,pioglitazone,DRUG,Diabetes Mellitus; Myocardial Infarction,phase4,TERMINATED,"National Cerebral and Cardiovascular Center, Japan",
NCT00212004,control,OTHER,Diabetes Mellitus; Myocardial Infarction,phase4,TERMINATED,"National Cerebral and Cardiovascular Center, Japan",
NCT04294784,Albumin-bound Paclitaxel Plus SHR-1210 (PD-1 inhibitor),DRUG,Gastric Cancer; GastroEsophageal Cancer,phase2,TERMINATED,Huazhong University of Science and Technology,
NCT04294784,Albumin-bound Paclitaxel,DRUG,Gastric Cancer; GastroEsophageal Cancer,phase2,TERMINATED,Huazhong University of Science and Technology,
NCT04589884,Hyperspectral Imaging,OTHER,Parathyroid Diseases; Thyroid Diseases; Liver Cancer; Liver Metastases; Digestive Cancer; Digestive Perfusion,na,TERMINATED,IHU Strasbourg,
NCT00625833,Placebo,DRUG,Diabetic Neuropathies,phase2,TERMINATED,Pfizer,
NCT00625833,"[S,S]-Reboxetine",DRUG,Diabetic Neuropathies,phase2,TERMINATED,Pfizer,
NCT02762149,Nerve stimulator,DEVICE,Labor Pain,na,TERMINATED,"Samuel Lunenfeld Research Institute, Mount Sinai Hospital",
NCT00171938,imatinib mesylate,DRUG,Glioblastoma,phase2,TERMINATED,Novartis,
NCT03619655,SPECT CT,PROCEDURE,Prostate Cancer,phase1,TERMINATED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,
NCT03619655,18F-DCFPyL PET/CT,DRUG,Prostate Cancer,phase1,TERMINATED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,
NCT03619655,18F-NaF PET/CT,DRUG,Prostate Cancer,phase1,TERMINATED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,
NCT03619655,WB-MRI,PROCEDURE,Prostate Cancer,phase1,TERMINATED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,
NCT06419855,Human collagen matrix graft,DEVICE,Cerebrospinal Fluid Leakage,na,TERMINATED,Top Health S.A.P.I DE C.V.,
NCT06419855,Bovine collagen matrix graft,DEVICE,Cerebrospinal Fluid Leakage,na,TERMINATED,Top Health S.A.P.I DE C.V.,
NCT03585855,MSC transplantation,OTHER,Interventional,na,TERMINATED,University Medical Centre Ljubljana,
NCT01006785,DLBS1425,DRUG,Breast Cancer,phase2,TERMINATED,Dexa Medica Group,
NCT01006785,DLBS1425,DRUG,Breast Cancer,phase2,TERMINATED,Dexa Medica Group,
NCT00354185,tanespimycin,DRUG,Adult Nasal Type Extranodal NK/T-cell Lymphoma; Anaplastic Large Cell Lymphoma; Angioimmunoblastic T-cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Intra,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00354185,belinostat,DRUG,Adult Nasal Type Extranodal NK/T-cell Lymphoma; Anaplastic Large Cell Lymphoma; Angioimmunoblastic T-cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Intra,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00354185,laboratory biomarker analysis,OTHER,Adult Nasal Type Extranodal NK/T-cell Lymphoma; Anaplastic Large Cell Lymphoma; Angioimmunoblastic T-cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Intra,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00354185,pharmacological study,OTHER,Adult Nasal Type Extranodal NK/T-cell Lymphoma; Anaplastic Large Cell Lymphoma; Angioimmunoblastic T-cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Intra,phase1,TERMINATED,National Cancer Institute (NCI),
NCT04649515,TY027,BIOLOGICAL,Coronavirus Disease-2019 (COVID-19),phase3,TERMINATED,Tychan Pte Ltd.,
NCT04649515,TY027,BIOLOGICAL,Coronavirus Disease-2019 (COVID-19),phase3,TERMINATED,Tychan Pte Ltd.,
NCT04649515,0.9% saline,OTHER,Coronavirus Disease-2019 (COVID-19),phase3,TERMINATED,Tychan Pte Ltd.,
NCT00356187,Propranolol,DRUG,Trauma,phase2,TERMINATED,Denver Health and Hospital Authority,
NCT02020616,LY3053102,DRUG,Type 2 Diabetes Mellitus,phase1; phase2,TERMINATED,Eli Lilly and Company,
NCT02020616,Exenatide ER,DRUG,Type 2 Diabetes Mellitus,phase1; phase2,TERMINATED,Eli Lilly and Company,
NCT02020616,Placebo,DRUG,Type 2 Diabetes Mellitus,phase1; phase2,TERMINATED,Eli Lilly and Company,
NCT02020616,Metformin,DRUG,Type 2 Diabetes Mellitus,phase1; phase2,TERMINATED,Eli Lilly and Company,
NCT01276704,Placebo,DRUG,Breast Cancer,phase2,TERMINATED,"Carol Fabian, MD",
NCT01276704,secoisolariciresinol,DRUG,Breast Cancer,phase2,TERMINATED,"Carol Fabian, MD",
NCT00895284,Robotic hysterectomy,PROCEDURE,Hysterectomy,phase4,TERMINATED,Mayo Clinic,
NCT00895284,Standard Hysterectomy,PROCEDURE,Hysterectomy,phase4,TERMINATED,Mayo Clinic,
NCT02521558,Intervention Group,BEHAVIORAL,Memory Disorders; Mild Cognitive Impairment; Alzheimer's Disease,na,TERMINATED,Boston University,
NCT02521558,Control Group,BEHAVIORAL,Memory Disorders; Mild Cognitive Impairment; Alzheimer's Disease,na,TERMINATED,Boston University,
NCT01646515,Placebo,DRUG,Systolic Heart Failure,phase3,TERMINATED,Seoul National University Hospital,
NCT01646515,Udenafil (Zydena),DRUG,Systolic Heart Failure,phase3,TERMINATED,Seoul National University Hospital,
NCT03624608,AuryzoN Family of Devices,DEVICE,"Ear Deformities, Acquired; Ear; Deformity, Congenital; Microtia; Nose Deformity; Nose Deformities, Acquired; Nose; Deformity, Congenital; Nose; Deformity, Congenital, Bent or Squashed; Nose; Deformity",na,TERMINATED,"Reconstrata, LLC",
NCT00329108,ziprasidone hydrochloride,DRUG,"Acute Mania; Bipolar Disorder, Manic",phase4,TERMINATED,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,
NCT00329108,olanzapine,DRUG,"Acute Mania; Bipolar Disorder, Manic",phase4,TERMINATED,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,
NCT01578785,Glatiramer Acetate,DRUG,Relapsing-Remitting Multiple Sclerosis,phase3,TERMINATED,"Teva Branded Pharmaceutical Products R&D, Inc.",
NCT01578785,Placebo,DRUG,Relapsing-Remitting Multiple Sclerosis,phase3,TERMINATED,"Teva Branded Pharmaceutical Products R&D, Inc.",
NCT02582476,Bumetanide,DRUG,Hypokalemic Periodic Paralysis,phase2,TERMINATED,"University College, London",
NCT02582476,Placebo,DRUG,Hypokalemic Periodic Paralysis,phase2,TERMINATED,"University College, London",
NCT04632940,Pamrevlumab,DRUG,Duchenne Muscular Dystrophy,phase3,TERMINATED,Kyntra Bio,
NCT04632940,Placebo,DRUG,Duchenne Muscular Dystrophy,phase3,TERMINATED,Kyntra Bio,
NCT04632940,Corticosteroids,DRUG,Duchenne Muscular Dystrophy,phase3,TERMINATED,Kyntra Bio,
NCT03245840,Budesonide oral suspension,DRUG,Eosinophilic Esophagitis (EoE),phase3,TERMINATED,Shire,
NCT02588040,Leukocyte- and Platelet-Rich Plasma (L-PRP),BIOLOGICAL,Lateral Epicondylitis,na,TERMINATED,Zimmer Biomet,
NCT02698189,Birabresib Dose 20 mg,DRUG,AML Including AML de Novo and AML Secondary to MDS; DLBCL,phase1,TERMINATED,Merck Sharp & Dohme LLC,
NCT00516516,L-Carnitine,OTHER,Muscle Cramp,na,TERMINATED,University of Southern California,
NCT00516516,Placebo,OTHER,Muscle Cramp,na,TERMINATED,University of Southern California,
NCT01230216,control systolic blood pressure less than 120 mmHg,DRUG,Coronary Artery Disease; Hypertension,phase4,TERMINATED,Takeshi Morimoto,
NCT01230216,control systolic blood pressure less than 140 mmHg,DRUG,Coronary Artery Disease; Hypertension,phase4,TERMINATED,Takeshi Morimoto,
NCT00875004,epoetin beta,BIOLOGICAL,"Anemia; Unspecified Adult Solid Tumor, Protocol Specific",na,TERMINATED,Institut du Cancer de Montpellier - Val d'Aurelle,
NCT00875004,systemic chemotherapy,DRUG,"Anemia; Unspecified Adult Solid Tumor, Protocol Specific",na,TERMINATED,Institut du Cancer de Montpellier - Val d'Aurelle,
NCT00875004,quality-of-life assessment,PROCEDURE,"Anemia; Unspecified Adult Solid Tumor, Protocol Specific",na,TERMINATED,Institut du Cancer de Montpellier - Val d'Aurelle,
NCT02268604,BIIB 722 CL,DRUG,Healthy,phase1,TERMINATED,Boehringer Ingelheim,
NCT02268604,Placebo,DRUG,Healthy,phase1,TERMINATED,Boehringer Ingelheim,
NCT02631252,Hydroxychloroquine,DRUG,"Leukemia, Acute Myelogenous",phase1,TERMINATED,"Alison Sehgal, MD, MS",
NCT02631252,Mitoxantrone,DRUG,"Leukemia, Acute Myelogenous",phase1,TERMINATED,"Alison Sehgal, MD, MS",
NCT02631252,Etoposide,DRUG,"Leukemia, Acute Myelogenous",phase1,TERMINATED,"Alison Sehgal, MD, MS",
NCT03255252,Cisplatin injection,DRUG,Cervical Cancer,phase2,TERMINATED,Institut du Cancer de Montpellier - Val d'Aurelle,
NCT03255252,radiotherapy,OTHER,Cervical Cancer,phase2,TERMINATED,Institut du Cancer de Montpellier - Val d'Aurelle,
NCT00276952,Gonyautoxin,DRUG,Tension-Type Headache,phase2,TERMINATED,University of Chile,
NCT01081938,INSULIN GLARGINE,DRUG,"Diabetes Mellitus, Type 2",phase4,TERMINATED,Sanofi,
NCT01081938,INSULIN GLULISINE,DRUG,"Diabetes Mellitus, Type 2",phase4,TERMINATED,Sanofi,
NCT01120158,Bevacizumab,DRUG,Breast Cancer,phase2,TERMINATED,Hellenic Oncology Research Group,
NCT01120158,Paclitaxel,DRUG,Breast Cancer,phase2,TERMINATED,Hellenic Oncology Research Group,
NCT03647085,Wearable cardiac monitor,DEVICE,Atrial Fibrillation; Atrial Flutter,na,TERMINATED,Boston Scientific Corporation,
NCT06210243,C752,BIOLOGICAL,"Lymphoma, B-Cell; CAR-T",phase1,TERMINATED,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,
NCT02029235,Acetaminophen/Ibuprofen,DRUG,Carpal Tunnel; Ganglion Cyst; Trigger Finger; De Quervain Disease,phase4,TERMINATED,"Alexander Payatakes, M.D.",
NCT02029235,Acetaminophen/Hydrocodone,DRUG,Carpal Tunnel; Ganglion Cyst; Trigger Finger; De Quervain Disease,phase4,TERMINATED,"Alexander Payatakes, M.D.",
NCT04857008,BNT001,DEVICE,Cancer,na,TERMINATED,Blue Note Therapeutics,
NCT00217217,Echo-Planar Magnetic Resonance Imaging (EP-MRSI),DEVICE,Bipolar Depression; Bipolar Disorder; Depression,phase3,TERMINATED,Mclean Hospital,
NCT00472706,excision,PROCEDURE,Bowen's Disease,phase4,TERMINATED,Catharina Ziekenhuis Eindhoven,
NCT00472706,Photodynamic therapy,PROCEDURE,Bowen's Disease,phase4,TERMINATED,Catharina Ziekenhuis Eindhoven,
NCT02749006,iTBS repetitive Transcranial Magnetic Stimulation (rTMS),DEVICE,Bipolar Depression,na,TERMINATED,University of British Columbia,
NCT02749006,Sham rTMS,DEVICE,Bipolar Depression,na,TERMINATED,University of British Columbia,
NCT05096884,Metoprolol Succinate,DRUG,Tachycardia; Dyspnea; COVID-19,early_phase1,TERMINATED,Hackensack Meridian Health,
NCT03474458,Doxycycline,DRUG,Cardiac AL Amyloidosis,phase2; phase3,TERMINATED,Fondazione IRCCS Policlinico San Matteo di Pavia,
NCT03474458,Standard of care therapy,DRUG,Cardiac AL Amyloidosis,phase2; phase3,TERMINATED,Fondazione IRCCS Policlinico San Matteo di Pavia,
NCT00843115,donepezil,OTHER,Alzheimer's Disease,na,TERMINATED,Pfizer,
NCT02389985,CRLX101,DRUG,Ovarian Cancer,phase1; phase2,TERMINATED,NewLink Genetics Corporation,
NCT02389985,Paclitaxel,DRUG,Ovarian Cancer,phase1; phase2,TERMINATED,NewLink Genetics Corporation,
NCT02984085,Genetically corrected cultured epidermal autograft (ATMP),DRUG,Recessive Dystrophic Epidermolysis Bullosa,phase1; phase2,TERMINATED,Holostem s.r.l.,
NCT04379076,Interleukin-7,DRUG,COVID-19; Lymphocytopenia,phase2,TERMINATED,Revimmune,
NCT04379076,Placebos,DRUG,COVID-19; Lymphocytopenia,phase2,TERMINATED,Revimmune,
NCT03598140,Sildenafil Citrate,DRUG,"Vascular System Injuries; Concussion, Brain; Post-Concussion Syndrome",phase2,TERMINATED,University of Texas Southwestern Medical Center,
NCT03598140,Placebo oral capsule,DRUG,"Vascular System Injuries; Concussion, Brain; Post-Concussion Syndrome",phase2,TERMINATED,University of Texas Southwestern Medical Center,
NCT00986440,CS-7017,DRUG,Colorectal Cancer,phase2,TERMINATED,Daiichi Sankyo,
NCT00986440,Placebo,DRUG,Colorectal Cancer,phase2,TERMINATED,Daiichi Sankyo,
NCT05462340,[18F]ASEM,DRUG,Schizophrenia,phase1,TERMINATED,Washington University School of Medicine,
NCT05462340,[18F]AZAN,DRUG,Schizophrenia,phase1,TERMINATED,Washington University School of Medicine,
NCT00202540,S18986,DRUG,Mild Cognitive Impairment,phase2,TERMINATED,Institut de Recherches Internationales Servier,
NCT05561140,Voxelotor Oral Tablet,DRUG,Sickle Cell Disease; Leg Ulcers,phase3,TERMINATED,Pfizer,
NCT05561140,Placebo,OTHER,Sickle Cell Disease; Leg Ulcers,phase3,TERMINATED,Pfizer,
NCT00540189,Initial appendectomy,PROCEDURE,Perforated Appendicitis,na,TERMINATED,University of Michigan,
NCT00540189,Interval appendectomy,PROCEDURE,Perforated Appendicitis,na,TERMINATED,University of Michigan,
NCT00894465,midazolam,DRUG,Vesicoureteral Reflux,na,TERMINATED,Washington University School of Medicine,
NCT00894465,placebo,DRUG,Vesicoureteral Reflux,na,TERMINATED,Washington University School of Medicine,
NCT02150967,BGJ398 (infigratinib),DRUG,Advanced Cholangiocarcinoma; FGFR2 Gene Mutation,phase2,TERMINATED,"QED Therapeutics, a BridgeBio company",
NCT02826967,Colonic Irrigation,PROCEDURE,Colonic Irrigation,na,TERMINATED,NYU Langone Health,
NCT01264965,long acting oxycodone,DRUG,Arthritis; Pain; Cognitive Impairment,phase4,TERMINATED,University of Chicago,
NCT01264965,extra strength acetaminophen,DRUG,Arthritis; Pain; Cognitive Impairment,phase4,TERMINATED,University of Chicago,
NCT01499667,Fingolimod,DRUG,Relapsing Remitting Multiple Sclerosis (RRMS),phase3,TERMINATED,Novartis Pharmaceuticals,
NCT01499667,Placebo,DRUG,Relapsing Remitting Multiple Sclerosis (RRMS),phase3,TERMINATED,Novartis Pharmaceuticals,
NCT01667107,Posaconazole,DRUG,Fungal Infection,phase4,TERMINATED,Merck Sharp & Dohme LLC,
NCT01667107,Calogen®,DRUG,Fungal Infection,phase4,TERMINATED,Merck Sharp & Dohme LLC,
NCT00210236,Conventional surgery WITHOUT Axillary Lymph Node Excision,PROCEDURE,Breast Cancer,phase3,TERMINATED,Institut Bergonié,
NCT00210236,Conventional surgery WITH Axillary Lymph Node Excision,PROCEDURE,Breast Cancer,phase3,TERMINATED,Institut Bergonié,
NCT04725071,Impact Advanced Recovery,OTHER,Burn Wound,na,TERMINATED,"University of Wisconsin, Madison",
NCT04725071,Boost High Protein,OTHER,Burn Wound,na,TERMINATED,"University of Wisconsin, Madison",
NCT01759134,Post discharge formula,OTHER,Premature Birth of Newborn,phase4,TERMINATED,Shaare Zedek Medical Center,
NCT01694264,Entecavir,DRUG,Chronic Hepatitis B; Rheumatoid Arthritis; Ankylosing Spondylitis; Psoriatic Arthritis; Juvenile Idiopathic Arthritis,phase3,TERMINATED,Seoul National University Hospital,
NCT01694264,Placebo,DRUG,Chronic Hepatitis B; Rheumatoid Arthritis; Ankylosing Spondylitis; Psoriatic Arthritis; Juvenile Idiopathic Arthritis,phase3,TERMINATED,Seoul National University Hospital,
